"Board Quantity","Ordering Quantity","Value","Reference","ATTRITION","CAPACITANCE","COLOR","CURRENT","DKPN","GAUGE","MANUFACTURER","MOPN","MPN","POWER","RESISTANCE","TEENSY","TOLERANCE","VOLTAGE","VOLTAGE_CONTINUOUS","VOLTAGE_MAX",
"4","14","LED_0603_RED","12V, PRECHARGE_OK, TEENSY_OK, TSAL_RED","250","","Red","","754-1786-1-ND","","Kingbright","604-APT1608SECKJ3PRV","APT1608SECK/J3-PRV","","","","","","","",
"1","2","LED_0603_YELLOW","OKHS","100","","Yellow","","754-1788-1-ND","","Kingbright","604-APT1608SYCK/J3-PRV","APT1608SYCK/J3-PRV","","","","","","","",
"1","3","LM555","U101","200","","","","LM555CMX/NOPBCT-ND","","Texas Instruments","926-LM555CMX/NOPB","LM555CMX/NOPB","","","","","","","",
"3","5","LOGICGATE_AND_DCK3","U12, U14, U16","67","","","","296-SN74LVC1G08DCK3TR-ND","","  Texas Instruments","595-SN74LVC1G08DCK3","SN74LVC1G08DCK3","","","","","","","",
"1","3","LOGICGATE_BUFFER","U6","200","","","","296-26604-2-ND","","Texas Instruments","595-SN74LVC1G34DCKT ","SN74LVC1G34DCKT","","","","","","","",
"1","3","LTC6820","U5","200","","","","","","Analog Devices","","LTC6820IMS#PBF","","","","","","","",
"4","6","MAX7404","U4, U10, U19, U25","50","","","","MAX7404CSA+-ND","","Maxim Integrated","700-MAX7404CSA","MAX7404CSA+","","","","","","","",
"12","14","OPAMP_1_CHANNEL_OPA991","U3, U9, U11, U13, U15, U17, U18, U20, U21, U22, U23, U24","17","","","","296-OPA991IDCKRCT-ND","","Texas Instruments","595-OPA991IDCKR","OPA991IDCKR","","","","","","","",
"1","2","RECEPTACLE-12_MICROFIT","O3","100","","","","WM1788-ND","","Molex","538-43025-1200","430251200","","","","","","","",
"1","2","RECEPTACLE-14_MICROFIT","O2","100","","","","0430251400","","Molex","538-43025-1400"," 430251400","","","","","","","",
"1","2","RECEPTACLE-8_MICROFIT","O1","100","","","","WM13210-ND","","Molex","538-43025-0808","0430250808","","","","","","","",
"3","5","RELAY_SOLIDSTATE_NO","U1, U2, U8","67","","","","","","","","AQY214EHA","","","","","","","",
"5","15","RESISTOR_0603_","R4, R20, R79, R108, R110","200","","","","P30KBDCT-ND","","Panasonic Electronic Components","667-ERA-3ARB303V","ERA-3ARB303V","0.1W","30k","","0.1%","","54.77V","75V",
"1","11","RESISTOR_0603_1.4K","R58","1000","","","","311-2465-1-ND","","Yageo","603-RT0603DRE071K4L","RT0603DRE071K4L","0.1W","1.4K","","0.5%","","75V","75V",
"4","14","RESISTOR_0603_10","R13, R18, R103, R104","250","","","","311-10.0HRCT-ND","","Yageo","603-RC0603FR-0710RL","RC0603FR-0710RL","0.1W","10","","1%","","1V","75V",
"2","12","RESISTOR_0603_10.2K","R41, R48","500","","","","P10.2KDBCT-ND","","Panasonic Electronic Components","667-ERA-3AEB1022V","ERA-3AEB1022V","0.1W","10.2k","","0.1%","","31.94V","75V",
"4","14","RESISTOR_0603_10.5K","R65, R68, R72, R76","250","","","","P10.5KDBCT-ND","","Panasonic Electronic Components","677-ERA-3AEB1052V","ERA-3AEB1052V","0.1W","10.5k","","0.1%","","32.40V","75V",
"27","37","RESISTOR_0603_10K","R6, R12, R14, R17, R22, R26, R27, R29, R30, R37, R42, R43, R44, R50, R52, R55, R59, R69, R71, R73, R77, R81, R82, R100, R101, R102, R106","37","","","","311-10.0KHRCT-ND","","Yageo","603-RC0603FR-0710KL","RC0603FR-0710KL","0.1W","10k","","1%","","31.62V","75V",
"1","11","RESISTOR_0603_11.3K","R70","1000","","","","P11.3KDBCT-ND","","Panasonic Electronic Components","667-ERA-3AEB1132V","ERA-3AEB1132V","0.1W","11.3k","","0.1%","","33.62V","75V",
"7","17","RESISTOR_0603_11.5K","R38, R51, R53, R66, R67, R74, R75","143","","","","P11.5KDBCT-ND","","Panasonic Electronic Components","667-ERA-3AEB1152V","ERA-3AEB1152V","0.1W","11.5k","","0.1%","","33.91V","75V",
"1","11","RESISTOR_0603_120","R1","1000","","","","P120DBCT-ND","","Panasonic Electronic Components","667-ERA-3AEB121V","ERA-3AEB121V","0.1W","120","","0.1%","","3.46V","75V",
"7","17","RESISTOR_0603_12K","R5, R23, R31, R56, R78, R80, R107","143","","","","311-12.0KHRCT-ND","","Yageo","603-RC0603FR-0712KL","RC0603FR-0712KL","0.1W","12k","","1%","","34.64V","75V",
"1","11","RESISTOR_0603_15K","R21","1000","","","","P15KBDCT-ND","","Panasonic Electronic Components","667-ERA-3ARB153V","ERA-3ARB153V","0.1W","15k","","0.1%","","38.73V","75V",
"1","11","RESISTOR_0603_18.7K","R109","1000","","","","311-18.7KHRCT-ND","","Yageo","603-RC0603FR-0718K7L","RC0603FR-0718K7L","0.1W","18.7k","","1%","","43.24V","75V",
"9","19","RESISTOR_0603_1K","R3, R9, R10, R11, R16, R19, R24, R25, R57","111","","","","311-1.00KHRCT-ND","","Yageo","603-RC0603FR-071KL","RC0603FR-071KL","0.1W","1k","","1%","","10.00V","75V",
"1","11","RESISTOR_0603_2.2K","R15","1000","","","","13-RC0603DR-072K2LCT-ND","","Yageo","603-RC0603DR-072K2L","RC0603DR-072K2L","0.1W","2.2k","","0.5%","","75V","75V",
"1","11","RESISTOR_0603_215K","R46","1000","","","","P215KDBCT-ND","","Panasonic Electronic Components","667-ERA-3AEB2153V","ERA-3AEB2153V","0.1W","215k","","0.1%","","75V","75V",
"7","17","RESISTOR_0603_2K","R2, R7, R8, R32, R33, R61, R62","143","","","","P2.0KBDCT-ND","","Panasonic Electronic Components","667-ERA-3ARB202V","ERA-3ARB202V","0.1W","2k","","0.1%","","14.14V","75V",
"2","12","RESISTOR_0603_4.12K","R49, R63","500","","","","P4.12KDBCT-ND","","Panasonic Electronic Components","667-ERA-3AEB4121V","ERA-3AEB4121V","0.1W","4.12k","","0.1%","","20.30V","75V",
"1","11","RESISTOR_0603_43K","R105","1000","","","","311-43.0KHRCT-ND","","Yageo","603-RC0603FR-0743KL","RC0603FR-0743KL","0.1W","43k","","1%","","65.57V","75V",
"3","13","RESISTOR_0603_470","R28, R34, R35","333","","","","P470BYCT-ND","","Panasonic Electronic Components","667-ERJ-PA3F4700V","ERJ-PA3F4700V","0.25W","470","","1%","","10.84V","150V",
"2","12","RESISTOR_0603_60.4","R36, R60","500","","","","311-60.4HRCT-ND","","Yageo","603-RC0603FR-0760R4L","RC0603FR-0760R4L","0.1W","60.4","","1%","","2.48V","75V",
"1","11","RESISTOR_0603_84.5K","R39","1000","","","","P84.5KDBCT-ND","","Panasonic Electronic Components","667-ERA-3AEB8452V","ERA-3AEB8452V","0.1W","84.5k","","0.1%","","75V","75V",
"5","15","RESISTOR_0603_DNP","R40, R45, R47, R54, R64","200","","","","","","","","","","DNP","","","","","",
"1","3","TCAN1051HQV-Q1","U27","200","","","","296-49935-1-ND","","Texas Instruments","595-TCAN1051HGVDQ1","TCAN1051HGVDRQ1","","","","","","","",
"1","3","TEENSY_4.0","A2","200","","","","","","","","","","","4.0","","","","",
"17","19","TEST_POINT","BSPD_CURRENT, CURRENT_REF, CURRENT_SENSE, PACK+_OUT_TEST, PRECHARGE_OK_TEST, TD+, TD-, TP_3.3V, TP_5V, TP_12V, TP_AMS_OK, TP_GND, TP_IMD_OK, TP_TSAL_GREEN, TP_TSAL_RED, TS+_OUT_TEST, WATCHDOG_OK","12","","","","36-5015CT-ND","","Keystone Electronics","534-5015","5015","","","","","","","",
"1","3","TRANSFORMER_HM2112ZNLT_AIRGAP","T1","200","","","","1840-1036-1-ND","","Pulse Electronics","673-HM2112ZNLT","HM2112ZNLT","","","","","","","",
"4","6","TRANSISTOR_N_MOS__PMV15ENEA","Q1, Q2, Q100, Q101","50","","","","1727-8588-1-ND","","Nexperia USA Inc.","771-PMV15ENEAR","PMV15ENEAR","","","","","","","",
"8","10","TVS_15V","D3, D7, D8, D9, D10, D11, D100, D101","25","","","","GSOT15-E3-08CT-ND","","Vishay General Semiconductor - Diodes Division","78-GSOT15-E3-08","GSOT15-E3-08","","","","","15V","","",
"2","4","TVS_8V","D2, D4","100","","","","GSOT08-E3-08-ND","","Vishay General Semiconductor - Diodes Division","78-GSOT08-E3-08","GSOT08-E3-08","","","","","8V","","",
"1","3","VOLTAGE_REGULATOR_MODULE_OKI-78SR_5V","A1","200","","","","811-2196-5-ND","","Murata Power Solutions Inc.","580-OKI78SR5/1.5W36C","OKI-78SR-5/1.5-W36-C","","","","","","","",
"1","3","VOLTAGE_REGULATOR_SOT223_3.3V","U26","200","","","","497-17239-1-ND","","STMicroelectronics","511-LDL1117S33R","LDL1117S33R","","","","","","","",
