"Qty";"Value";"Device";"Package";"Parts";"Description";"CAPACITANCE";"COLOR";"CURRENT";"CURRENT_RATED";"CURRENT_SATURATION";"DCR";"DKPN";"INDUCTANCE";"MANUFACTURER";"MOPN";"MPN";"POWER";"RESISTANCE";"TOLERANCE";"VOLTAGE";"VOLTAGE_CONTINUOUS";"VOLTAGE_MAX";
"2";"LED_0603_WHITE";"LED_0603_WHITE";"0603-LED";"D5, D12";"LED";"";"White";"";"";"";"";"SM0603UWC-ND";"";"Bivar Inc.";"749-SM0603UWC";"SM0603UWC";"";"";"";"";"";"";
"1";"LED_0603_YELLOW";"LED_0603_YELLOW";"0603-LED";"D3";"LED";"";"Yellow";"";"";"";"";"754-1788-1-ND";"";"Kingbright";"604-APT1608SYCK/J3-PRV";"APT1608SYCK/J3-PRV";"";"";"";"";"";"";
"1";"LOGICGATE_INVERTER_DCKR";"LOGICGATE_INVERTER_DCKR";"SC-70-5";"U15";"Inverter";"";"";"";"";"";"";"  2156-SN74LVC1G04DCKR-ND";"";"Texas Instruments";"595-SN74LVC1G04DCKR";"SN74LVC1G04DCKR";"";"";"";"";"";"";
"1";"LTC3639";"LTC3639";"MSE16(12)";"U16";"LTC3639";"";"";"";"";"";"";"LTC3639EMSE#TRPBFTR-ND";"";"Analog Devices Inc.";"584-LTC3639EMSETRPBF";"LTC3639EMSE#TRPBF ";"";"";"";"";"";"";
"1";"LTC6994_1";"LTC6994_1";"SOT-23-6";"U1";"Analog Electronics Delay IC";"";"";"";"";"";"";"505-LTC6994CS6-1#TRMPBFTR-ND";"";"Analog Electronics";"584-C6994CS6-1TRMPBF";"LTC6994CS6-1#TRMPBF";"";"";"";"";"";"";
"1";"RELAY_SOLIDSTATE_NC_AG";"RELAY_SOLIDSTATE_NC_AG";"DIP-4_AIRGAP";"U11";"Normally Closed Solid-State Relay";"";"";"";"";"";"";"255-2897-ND";"";"Panasonic Industrial Devices";"769-AQY414EHA";"AQY414EHA";"";"";"";"";"";"";
"1";"RELAY_SOLIDSTATE_NO_AG";"RELAY_SOLIDSTATE_NO_AG";"DIP-4_AIRGAP";"U$1";"Normally Open Solid-State Relay";"";"";"";"";"";"";"255-1436-5-ND";"";"Panasonic Inustrial Devices";"769-AQY214EHA";"AQY214EHA";"";"";"";"";"";"";
"1";"RELAY_SPST_NC_POLARIZED_3550_12";"RELAY_SPST_NC_POLARIZED_3550_12";"335X";"K4";"Single Pole, Single Throw Normally Closed Polarized Relay";"";"";"";"";"";"";"1835-1040-ND";"";"Comus International";"";"3350-4275-126";"";"";"";"";"";"";
"1";"RELAY_SPST_NO_3550_12";"RELAY_SPST_NO_3550_12";"335X";"K5";"Single Pole, Single Throw Relay Normally Open";"";"";"";"";"";"";"1835-1037-ND";"";"Comus International";"";"3350-1275-126";"";"";"";"";"";"";
"1";"RESISTOR_0603_1.62";"RESISTOR_0603_1.62";"0603-RES";"R31";"Resistor";"";"";"";"";"";"";"1712-CPF0603B1R62E1TR-ND";"";"TE Conductivity Passive Product";"279-CPF0603B1R62E1";"CPF0603B1R62E1";"0.1W";"1.62";"0.1%";"";"0.51V";"50V";
"1";"RESISTOR_0603_10";"RESISTOR_0603_10";"0603-RES";"R37";"Resistor";"";"";"";"";"";"";"311-10.0HRCT-ND";"";"Yageo";"603-RC0603FR-0710RL";"RC0603FR-0710RL";"0.1W";"10";"1%";"";"1V";"75V";
"2";"RESISTOR_0603_10K";"RESISTOR_0603_10K";"0603-RES";"R38, R47";"Resistor";"";"";"";"";"";"";"311-10.0KHRCT-ND";"";"Yageo";"603-RC0603FR-0710KL";"RC0603FR-0710KL";"0.1W";"10k";"1%";"";"31.62V";"75V";
"1";"RESISTOR_0603_13K";"RESISTOR_0603_13K";"0603-RES";"R4";"Resistor";"";"";"";"";"";"";"P20098TR-ND";"";"Panasonic Electronic Components";"667-ERJ-PB3B1302V";" ERJ-PB3B1302V";"0.1W";"13k";"0.1%";"";"36V";"75V";
"1";"RESISTOR_0603_154K";"RESISTOR_0603_154K";"0603-RES";"R51";"Resistor";"";"";"";"";"";"";"P154KDBCT-ND";"";"Panasonic Electronic Components";"667-ERA-3AEB1543V";"ERA-3AEB1543V";"0.1W";"154k";"0.1%";"";"75V";"75V";
"12";"RESISTOR_0603_1K";"RESISTOR_0603_1K";"0603-RES";"R28, R29, R30, R32, R34, R35, R36, R52, R53, R54, R55, R63";"Resistor";"";"";"";"";"";"";"311-1.00KHRCT-ND";"";"Yageo";"603-RC0603FR-071KL";"RC0603FR-071KL";"0.1W";"1k";"1%";"";"10.00V";"75V";
"1";"RESISTOR_0603_3.32K";"RESISTOR_0603_3.32K";"0603-RES";"R45";"Resistor";"";"";"";"";"";"";"YAG1651TR-ND";"";"Yageo";"603-RT0603BRD073K32L";"RT0603BRD073K32L";"0.1W";"3.32k";"0.1%";"";"18.22V";"75V";
"14";"RESISTOR_0603_33.2K";"RESISTOR_0603_33.2K";"0603-RES";"R10, R11, R12, R13, R14, R15, R20, R21, R22, R23, R24, R25, R49, R50";"Resistor";"";"";"";"";"";"";"P20144TR-ND";"";"Panasonic Electronic Components";"667-ERJ-PB3B3322V";"ERJ-PB3B3322V";"0.1W";"33.2k";"0.1%";"";"57.6V";"75V";
"2";"RESISTOR_0603_5.9K";"RESISTOR_0603_5.9K";"0603-RES";"R1, R2";"Resistor";"";"";"";"";"";"";"P5.9KDBCT-ND";"";"Panasonic Electronic Components";"667-ERA-3AEB5901V";"ERA-3AEB5901V";"0.1W";"5.9k";"0.1%";"";"24.29V";"75V";
"1";"RESISTOR_0603_75K";"RESISTOR_0603_75K";"0603-RES";"R48";"Resistor";"";"";"";"";"";"";"RT0603BRE0775KL-ND";"";"Yageo";"603-RT0603BRE0775KL";"RT0603BRE0775KL";"0.1W";"75k";"0.1%";"";"75V";"75V";
"1";"RESISTOR_0603_8.66K";"RESISTOR_0603_8.66K";"0603-RES";"R3";"Resistor";"";"";"";"";"";"";"YAG4603TR-ND";"";"Yageo";"603-RT0603BRD078K66L";"RT0603BRD078K66L";"0.1W";"8.66k";"0.1%";"";"29.43V";"75V";
"1";"RESISTOR_0603_DNP";"RESISTOR_0603_DNP";"0603-RES";"R33";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"DNP";"";"";"";"";
"1";"RESISTOR_0805_1";"RESISTOR_0805_1";"0805-RES";"R26";"Resistor";"";"";"";"";"";"";"P1.0DTR-ND";"";"Panasonic Electronic Components";"667-ERJ-6RQF1R0V";"ERJ-6RQF1R0V";"0.125W";"1";"1%";"";"0.35V";"150V";
